numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst,confianza_binaria
1,3,1,2,3,0,"7,75",0
2,3,1,2,4,0,"8,875",1
3,3,1,2,3,0,"8,3125",1
4,3,1,2,3,30,10,1
5,4,3,2,5,30,10,1
6,4,3,2,4,30,"6,625",0
7,3,1,6,3,0,"4,375",0
8,3,1,6,3,0,"6,0625",0
9,3,3,5,3,30,10,1
10,3,3,5,4,0,"9,4375",1
11,3,2,4,3,30,"3,25",0
12,3,3,2,2,30,"7,75",0
13,3,1,2,2,0,"7,75",0
14,2,2,2,2,0,"5,5",0
15,4,1,2,5,0,"9,4375",1
17,4,1,2,4,0,10,1
18,4,1,2,4,0,10,1
19,3,1,4,5,30,"9,4375",1
20,4,1,2,1,30,10,1
21,1,2,5,1,30,10,1
22,3,3,4,3,0,"7,75",0
23,3,1,4,3,30,10,1
24,3,1,2,5,30,"8,3125",1
25,3,2,7,2,0,10,1
26,4,3,4,4,0,10,1
27,3,3,4,4,0,10,1
28,4,1,4,3,50,"8,3125",1
29,3,1,4,3,0,10,1
30,3,1,3,4,30,"7,75",0
31,3,1,3,5,0,"8,3125",1
32,3,2,2,3,0,"6,625",0
33,2,1,4,4,0,10,1
34,4,1,2,3,0,10,1
35,4,3,2,2,30,10,1
36,4,3,2,5,0,10,1
37,4,2,2,4,30,10,1
38,2,3,2,3,30,"9,4375",1
39,3,1,4,3,0,"8,875",1
40,4,3,2,4,0,"8,875",1
42,4,3,4,4,0,10,1
43,3,1,4,3,0,"8,3125",1
44,2,3,7,4,0,"8,3125",1
45,3,3,6,5,0,"9,4375",1
46,3,1,2,3,0,"6,625",0
48,4,1,2,2,0,10,1
49,3,3,3,3,0,10,1
50,4,3,4,4,30,10,1
51,1,1,3,2,30,"7,75",0
52,1,1,2,3,0,"7,75",0
56,3,1,4,4,30,"7,75",0
57,3,1,4,5,30,"8,3125",1
60,3,2,2,1,30,"6,625",0
61,2,2,4,3,0,"4,375",0
62,1,1,6,3,30,"9,4375",1
63,3,3,4,4,0,10,1
64,4,1,6,5,30,"9,4375",1
65,4,2,6,4,0,"8,3125",1
67,1,3,4,3,50,"4,9375",0
68,4,1,2,3,50,"7,1875",0
69,3,3,4,1,0,"8,875",1
71,4,3,5,4,0,10,1
72,1,3,4,3,50,"8,875",1
73,3,1,2,5,0,"8,875",1
74,4,1,5,3,0,"7,75",0
75,4,2,6,1,30,10,1
76,4,3,4,4,0,10,1
77,3,3,2,4,0,"8,875",1
78,4,3,4,4,30,10,1
79,3,1,4,3,30,10,1
80,1,1,5,5,30,"5,5",0
81,4,3,2,4,0,10,1
82,3,2,4,4,0,"8,875",1
83,4,1,4,5,30,"8,3125",1
84,4,3,4,3,0,10,1
85,3,1,5,3,50,"6,625",0
87,3,1,5,1,0,10,1
88,4,1,2,5,30,"8,875",1
89,3,1,4,3,30,"5,5",0
90,1,2,4,5,30,10,1
93,4,3,5,2,0,"8,875",1
95,4,3,4,3,0,"8,875",1
96,1,3,5,3,30,10,1
97,3,3,2,4,30,10,1
98,3,3,5,3,0,"7,75",0
99,4,3,5,2,0,"8,875",1
100,3,1,7,4,0,10,1
101,3,2,6,3,30,"8,875",1
102,3,1,4,3,0,10,1
103,1,1,2,4,0,"8,3125",1
104,3,1,4,4,0,"8,3125",1
105,2,1,2,3,30,"8,3125",1
106,4,2,6,4,30,10,1
107,4,2,2,3,0,"8,3125",1
108,2,1,6,3,30,"5,5",0
109,2,3,4,5,0,"9,4375",1
110,3,1,4,4,30,"9,4375",1
111,4,3,4,1,0,10,1
112,3,2,4,3,30,"9,4375",1
113,4,2,4,5,0,10,1
114,4,1,4,3,0,"8,875",1
115,1,1,4,4,30,10,1
116,3,3,3,5,50,10,1
117,4,3,4,5,0,10,1
119,4,1,6,5,0,"7,75",0
120,4,3,2,3,50,"7,75",0
121,1,1,4,3,50,"7,75",0
122,4,1,4,5,0,10,1
123,3,3,2,5,30,10,1
124,4,3,4,3,30,10,1
125,4,3,6,3,0,10,1
126,3,3,4,2,30,"7,75",0
128,1,1,3,4,0,10,1
129,3,3,4,5,0,"7,1875",0
130,3,1,6,4,30,"8,875",1
131,3,1,2,5,0,10,1
132,4,1,2,3,0,"7,75",0
133,3,2,4,3,0,10,1
134,4,2,4,2,50,"9,4375",1
135,4,1,4,5,30,10,1
136,3,3,6,5,0,"8,3125",1
137,3,1,2,3,0,"8,3125",1
138,3,1,2,4,30,"7,75",0
139,2,3,3,5,0,10,1
140,3,1,3,5,30,"9,4375",1
142,3,2,4,5,30,10,1
143,4,1,4,3,0,10,1
144,3,1,4,4,30,"7,75",0
145,2,1,2,3,0,"5,5",0
147,4,3,4,4,0,"8,875",1
148,4,1,5,1,0,10,1
149,3,2,4,4,0,10,1
151,1,1,6,3,0,"3,25",0
152,4,1,4,5,0,10,1
153,4,1,4,3,0,"7,75",0
154,4,1,6,3,0,10,1
155,3,1,4,3,0,"6,625",0
156,3,1,6,2,0,"8,875",1
157,3,2,4,4,0,"8,875",1
158,1,1,2,3,30,"7,75",0
159,3,1,4,3,50,"6,625",0
160,3,2,4,3,0,"6,625",0
161,1,3,4,3,0,"4,9375",0
162,4,3,4,4,0,"7,1875",0
163,2,2,6,3,30,"7,75",0
164,4,3,6,3,30,"8,875",1
165,3,1,4,4,30,10,1
166,4,3,2,3,30,"7,75",0
167,4,2,2,2,0,"8,875",1
168,3,1,4,5,30,10,1
169,3,3,5,3,0,"7,75",0
170,3,1,4,3,30,"9,4375",1
171,3,2,6,5,0,"7,75",0
172,3,1,2,3,0,"7,1875",0
173,3,1,4,3,0,"8,3125",1
174,3,1,4,3,30,"8,875",1
175,1,3,4,3,30,"9,4375",1
176,4,1,2,4,0,"7,75",0
177,4,3,2,5,0,10,1
178,3,1,4,5,30,10,1
179,3,1,3,3,30,"8,3125",1
180,1,1,4,3,30,"6,625",0
181,3,1,4,5,0,"8,875",1
183,4,3,2,3,0,"8,875",1
184,3,1,2,1,30,"9,4375",1
185,4,3,6,5,30,"7,1875",0
186,3,2,4,4,30,"9,4375",1
187,3,1,4,3,50,10,1
188,4,1,4,3,30,10,1
189,3,1,6,3,30,"8,875",1
190,3,2,4,3,30,"9,4375",1
191,3,1,3,2,0,"7,1875",0
192,4,1,4,5,0,"8,3125",1
193,3,1,2,5,30,"9,4375",1
194,4,3,4,3,0,10,1
195,3,3,2,3,0,"8,875",1
196,3,1,2,3,0,10,1
197,4,1,2,4,30,10,1
198,3,3,2,3,0,"8,3125",1
199,4,1,2,5,0,10,1
200,3,3,2,4,0,"8,875",1
201,1,1,3,4,0,"7,1875",0
202,3,1,2,5,30,10,1
204,3,1,3,1,0,"8,3125",1
205,3,1,3,4,30,"7,75",0
206,1,1,2,5,0,10,1
207,1,3,3,4,0,"9,4375",1
209,4,3,2,3,30,"9,4375",1
211,3,1,2,1,0,10,1
212,3,1,4,5,30,"9,4375",1
213,1,3,3,5,30,"4,9375",0
214,3,1,6,4,50,10,1
215,4,1,4,4,0,"7,1875",0
216,3,1,4,5,30,10,1
217,3,1,6,3,30,"9,4375",1
219,3,3,5,5,0,10,1
220,3,1,3,4,30,"7,75",0
221,3,1,4,3,0,"9,4375",1
222,3,1,4,5,30,"9,4375",1
223,4,1,6,5,30,"9,4375",1
224,4,3,2,4,30,10,1
225,3,1,6,3,30,"8,3125",1
226,3,1,4,5,0,"8,3125",1
227,3,1,5,5,30,"8,875",1
228,1,1,4,3,30,"6,0625",0
229,4,3,4,3,0,"9,4375",1
230,4,1,4,3,0,"7,1875",0
231,3,3,6,3,30,"7,1875",0
232,3,3,6,3,0,"8,3125",1
233,4,3,6,4,0,"7,75",0
234,3,3,4,5,0,"6,625",0
235,3,2,6,3,30,10,1
236,3,3,5,5,0,"8,875",1
237,3,3,4,1,50,"8,875",1
239,3,3,4,5,30,"8,875",1
240,4,1,4,3,0,"8,875",1
242,3,3,4,4,0,"8,875",1
243,3,1,3,3,0,"8,3125",1
244,3,3,4,3,0,"7,1875",0
245,1,3,5,5,0,"6,625",0
246,4,1,1,1,30,"8,3125",1
