satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst
3,1,2,3,0,"7,75"
3,1,2,4,0,"8,875"
3,1,2,3,0,"8,3125"
3,1,2,3,30,10
4,3,2,5,30,10
4,3,2,4,30,"6,625"
3,1,6,3,0,"4,375"
3,1,6,3,0,"6,0625"
3,3,5,3,30,10
3,3,5,4,0,"9,4375"
3,2,4,3,30,"3,25"
3,3,2,2,30,"7,75"
3,1,2,2,0,"7,75"
2,2,2,2,0,"5,5"
4,1,2,5,0,"9,4375"
4,1,2,4,0,10
4,1,2,4,0,10
3,1,4,5,30,"9,4375"
4,1,2,1,30,10
1,2,5,1,30,10
3,3,4,3,0,"7,75"
3,1,4,3,30,10
3,1,2,5,30,"8,3125"
3,2,7,2,0,10
4,3,4,4,0,10
3,3,4,4,0,10
4,1,4,3,50,"8,3125"
3,1,4,3,0,10
3,1,3,4,30,"7,75"
3,1,3,5,0,"8,3125"
3,2,2,3,0,"6,625"
2,1,4,4,0,10
4,1,2,3,0,10
4,3,2,2,30,10
4,3,2,5,0,10
4,2,2,4,30,10
2,3,2,3,30,"9,4375"
3,1,4,3,0,"8,875"
4,3,2,4,0,"8,875"
4,3,4,4,0,10
3,1,4,3,0,"8,3125"
2,3,7,4,0,"8,3125"
3,3,6,5,0,"9,4375"
3,1,2,3,0,"6,625"
4,1,2,2,0,10
3,3,3,3,0,10
4,3,4,4,30,10
1,1,3,2,30,"7,75"
1,1,2,3,0,"7,75"
3,1,4,4,30,"7,75"
3,1,4,5,30,"8,3125"
3,2,2,1,30,"6,625"
2,2,4,3,0,"4,375"
1,1,6,3,30,"9,4375"
3,3,4,4,0,10
4,1,6,5,30,"9,4375"
4,2,6,4,0,"8,3125"
1,3,4,3,50,"4,9375"
4,1,2,3,50,"7,1875"
3,3,4,1,0,"8,875"
4,3,5,4,0,10
1,3,4,3,50,"8,875"
3,1,2,5,0,"8,875"
4,1,5,3,0,"7,75"
4,2,6,1,30,10
4,3,4,4,0,10
3,3,2,4,0,"8,875"
4,3,4,4,30,10
3,1,4,3,30,10
1,1,5,5,30,"5,5"
4,3,2,4,0,10
3,2,4,4,0,"8,875"
4,1,4,5,30,"8,3125"
4,3,4,3,0,10
3,1,5,3,50,"6,625"
3,1,5,1,0,10
4,1,2,5,30,"8,875"
3,1,4,3,30,"5,5"
1,2,4,5,30,10
4,3,5,2,0,"8,875"
4,3,4,3,0,"8,875"
1,3,5,3,30,10
3,3,2,4,30,10
3,3,5,3,0,"7,75"
4,3,5,2,0,"8,875"
3,1,7,4,0,10
